id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9031910,319499000,2023-05-24T22:00:39Z,29.32706,-94.5717,0,264.7,232,STOLT INSPIRATION,IMO9102083,ZCSP8,80,1,176,31,11.9,85,A,1
9034796,355967000,2023-05-24T22:00:40Z,29.65443,-91.10176,0,352.2,201,GAS INSPIRATION,IMO9333137,3EFX8,80,5,99,17,6,99,A,1
9031950,563051800,2023-05-24T22:00:43Z,30.39308,-81.56576,0,119.1,327,MONTE VERDE,IMO9283239,9V7575,70,5,272,40,10,70,A,1
9034450,366508000,2023-05-24T22:00:44Z,26.11831,-80.07495,0,220.1,341,OVERSEAS MARTINEZ,IMO9353589,WPAJ,80,1,183,32,12.2,80,A,1
9042945,245021000,2023-05-24T22:00:48Z,28.8863,-89.33987,0.1,8.8,80,FAIRLANE,IMO9153654,PBFW,70,1,110,20,7.7,70,A,1
9037739,636020277,2023-05-24T22:00:48Z,29.29383,-94.553,0,191,281,ELKA DELOS,IMO9259290,D5YM5,89,1,183,32,10.3,89,A,1
9035669,563128800,2023-05-24T22:00:49Z,29.15369,-94.51309,0.1,141.6,92,MARITIME GRACIOUS,IMO9853527,9V6710,80,1,183,35,7.8,80,A,1
9035545,244561000,2023-05-24T22:00:52Z,26.08112,-80.11617,0,270.5,89,VANQUISH,IMO9375135,PHOW,70,5,99,15,5.8,79,A,1
9032817,367570970,2023-05-24T22:00:52Z,28.89464,-89.43169,10.4,178.8,511,MISSISSIPPI DELTA,NA,WDG7800,60,0,15,2.67,1.65,50,A,1
9035835,248895000,2023-05-24T22:00:55Z,29.25939,-94.46826,0.1,275.3,169,ALYARMOUK,IMO9356438,9HWI9,89,1,249,44,8,89,A,1
9031403,636021151,2023-05-24T22:00:57Z,29.61277,-95.00144,0,87.7,88,MSC MUNDRA VIII,IMO9294989,5LCN8,71,5,333,44,12.4,71,A,1
9055429,538005585,2023-05-24T22:01:01Z,29.19773,-94.62217,0,62,162,UACC MIRDIF,IMO9402794,V7FE5,80,1,182,32,12.6,80,A,1
9036378,636016396,2023-05-24T22:01:01Z,29.74183,-95.20446,0,98,113,NAVIGATOR ATLAS,IMO9661558,D5FZ2,80,5,159,24,9.4,80,A,1
